source_id,total_score,percentile_rank,latent_distance,candidate_type,feature_flags,error_ra,error_dec,error_parallax,error_parallax_error,error_pmra,error_pmdec,error_radial_velocity,error_radial_velocity_error,error_ruwe,error_astrometric_excess_noise,error_astrometric_excess_noise_sig,error_ipd_frac_multi_peak,error_ipd_gof_harmonic_amplitude,error_visibility_periods_used,error_non_single_star,error_duplicated_source,error_distance,error_tangential_velocity,error_total_velocity
12724411845875712,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,3.6809,7.3804,30.5174,2.0964,0.6971,4.9669,0.7126,9.8330,33.4937,43.7692,163.3727,4.1118,0.9852,178.9228,36.1112,8.7096,1.5305,15.5703,5.8523
13084261385721856,0.7000,94.17,0.0000,astrometric_binary,dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,1.5885,3.6777,20.7343,0.9263,0.0047,4.3330,0.6709,5.9149,21.4360,23.5556,78.6232,2.3377,0.5982,92.5278,18.8191,4.7077,2.3446,8.7888,3.3339
13930954058417664,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,9.6367,18.2920,72.6230,5.6252,2.6575,11.1400,0.5506,13.5215,55.1171,105.9558,423.3429,9.6968,2.1818,435.5468,85.9525,21.0046,3.6074,37.2515,14.5455
14103130707537664,0.7000,94.17,0.0000,quality_issue,ruwe|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used,0.3291,0.3125,0.1724,0.0302,0.5134,1.1635,0.1318,4.2348,2.0090,0.4572,3.2812,19.5232,0.0051,4.3590,0.1462,0.0435,0.9091,0.4233,0.7079
14301352038367616,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,5.0524,14.7159,54.4099,5.7450,1.4758,7.8007,0.6494,9.7997,48.7173,81.4333,387.5522,67.2912,1.8652,319.4691,64.6711,16.2165,4.7114,28.9814,12.0152
15666253989424512,0.7000,94.17,0.0000,astrometric_binary,parallax|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|non_single_star,0.3058,0.0454,2.8265,0.1093,0.2120,0.4154,0.1820,6.6396,5.3287,1.7114,13.4118,51.3545,0.0565,0.0852,0.6869,0.0316,0.7456,0.8576,0.3508
12104149848723968,0.7000,94.17,0.0000,quality_issue,parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used|non_single_star,1.4078,0.7286,2.0441,0.1861,0.7723,0.5832,1.1321,0.1908,3.2953,2.9199,23.4013,71.2300,0.0389,4.8810,1.2934,0.0469,0.8363,1.7348,0.9763
12653282891663488,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmra|pmdec|radial_velocity|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,270.4173,553.9883,2173.7710,184.3958,61.1547,342.9662,20.8869,385.9722,759.5344,3203.7786,13633.0879,281.1398,61.8037,13258.1973,2567.8057,633.6827,101.7599,1117.7069,448.7266
12802923848011904,0.7000,94.17,0.0000,astrometric_binary,parallax|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|tangential_velocity|total_velocity,0.2752,1.3658,6.1394,0.1582,0.8125,0.8070,0.4734,2.5397,6.8327,8.6462,22.4155,1.1909,0.2917,30.9776,7.5004,1.7451,0.9785,4.5115,2.3429
12828212615555712,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,2.1368,7.2093,18.3623,3.1333,1.2113,0.1068,0.1725,5.8218,13.9292,32.7883,198.3586,112.2505,0.3328,100.0717,23.1027,6.5093,6.2309,9.5883,4.2901
13434421479476352,0.7000,94.17,0.0000,astrometric_binary,parallax|parallax_error|pmra|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|visibility_periods_used|non_single_star|distance,1.1574,0.0209,8.4986,0.1636,2.0489,0.6226,0.7315,0.0219,2.1707,2.2502,17.1417,67.3795,0.0863,3.4592,0.9178,0.0099,3.0829,0.9364,0.2627
13733179404400896,0.7000,94.17,0.0000,astrometric_binary,ra|dec|parallax|parallax_error|pmdec|radial_velocity_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity|total_velocity,1.9982,3.2648,16.8275,0.5016,1.2826,2.8532,0.4642,5.5477,29.9039,18.2859,54.6911,1.7396,0.4786,72.7669,15.7074,3.6162,2.3457,7.2920,2.8236
14424600419692672,0.7000,94.17,0.0000,astrometric_binary,parallax|parallax_error|ruwe|astrometric_excess_noise|astrometric_excess_noise_sig|ipd_frac_multi_peak|ipd_gof_harmonic_amplitude|visibility_periods_used|non_single_star|duplicated_source|distance|tangential_velocity,1.4392,1.6868,4.2236,0.6383,0.5729,0.9472,0.0129,2.7010,8.0806,8.5688,65.5078,140.6981,0.5722,20.9820,4.1350,0.3145,3.4650,3.4194,1.5236
